BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarscape 1 demo.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vision-meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/17/2022 21:48:31:766 +0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],visualization,initial-population,max-metabolism,max-vision,[step],count turtles,mean [vision] of turtles,mean [metabolism] of turtles,,survival-rate,survival-rate-average,vision/metabolism,mean-vision/metabolism,,,,,,,,,,,,,,,
918,no-visualization,550,10,2,800,121,1.429752066,1.892561983,,0.22,,0.755458515,,,,,,,,,,,,,,,,
919,no-visualization,550,10,2,800,131,1.488549618,2.007633588,,0.238181818,,0.741444867,,,,,,,,,,,,,,,,
920,no-visualization,550,10,2,800,118,1.483050847,1.991525424,,0.214545455,,0.744680851,,,,,,,,,,,,,,,,
921,no-visualization,550,10,3,800,100,2.03,1.96,,0.181818182,22.5%,1.035714286,1.0,,,,,,,,,,,,,,,
922,no-visualization,550,10,3,800,115,2.07826087,1.973913043,,0.209090909,,1.052863436,,,,,,,,,,,,,,,,
923,no-visualization,550,10,3,800,117,2.008547009,1.846153846,,0.212727273,,1.087962963,,,,,,,,,,,,,,,,
924,no-visualization,550,10,3,800,123,2.138211382,1.910569106,,0.223636364,,1.119148936,,,,,,,,,,,,,,,,
925,no-visualization,550,10,3,800,133,2.060150376,2.045112782,,0.241818182,,1.007352941,,,,,,,,,,,,,,,,
926,no-visualization,550,10,3,800,126,2.007936508,2.055555556,,0.229090909,,0.976833977,,,,,,,,,,,,,,,,
927,no-visualization,550,10,3,800,129,2.069767442,1.88372093,,0.234545455,,1.098765432,,,,,,,,,,,,,,,,
928,no-visualization,550,10,3,800,129,2.046511628,1.914728682,,0.234545455,,1.068825911,,,,,,,,,,,,,,,,
929,no-visualization,550,10,3,800,134,1.925373134,2.082089552,,0.243636364,,0.924731183,,,,,,,,,,,,,,,,
930,no-visualization,550,10,3,800,129,2.046511628,1.96124031,,0.234545455,,1.043478261,,,,,,,,,,,,,,,,
931,no-visualization,550,10,4,800,124,2.459677419,2.016129032,,0.225454545,22.7%,1.22,1.3,,,,,,,,,,,,,,,
932,no-visualization,550,10,4,800,112,2.625,2,,0.203636364,,1.3125,,,,,,,,,,,,,,,,
933,no-visualization,550,10,4,800,141,2.765957447,1.929078014,,0.256363636,,1.433823529,,,,,,,,,,,,,,,,
934,no-visualization,550,10,4,800,111,2.594594595,2,,0.201818182,,1.297297297,,,,,,,,,,,,,,,,
935,no-visualization,550,10,4,800,118,2.56779661,1.881355932,,0.214545455,,1.364864865,,,,,,,,,,,,,,,,
936,no-visualization,550,10,4,800,141,2.65248227,1.829787234,,0.256363636,,1.449612403,,,,,,,,,,,,,,,,
937,no-visualization,550,10,4,800,136,2.485294118,1.882352941,,0.247272727,,1.3203125,,,,,,,,,,,,,,,,
938,no-visualization,550,10,4,800,118,2.593220339,1.847457627,,0.214545455,,1.403669725,,,,,,,,,,,,,,,,
939,no-visualization,550,10,4,800,121,2.685950413,1.983471074,,0.22,,1.354166667,,,,,,,,,,,,,,,,
940,no-visualization,550,10,4,800,124,2.306451613,1.991935484,,0.225454545,,1.157894737,,,,,,,,,,,,,,,,
941,no-visualization,550,10,5,800,133,3.187969925,1.947368421,,0.241818182,24.4%,1.637065637,1.6,,,,,,,,,,,,,,,
942,no-visualization,550,10,5,800,125,3.264,1.848,,0.227272727,,1.766233766,,,,,,,,,,,,,,,,
943,no-visualization,550,10,5,800,137,3.233576642,2.03649635,,0.249090909,,1.58781362,,,,,,,,,,,,,,,,
944,no-visualization,550,10,5,800,127,3.322834646,1.960629921,,0.230909091,,1.694779116,,,,,,,,,,,,,,,,
945,no-visualization,550,10,5,800,151,2.98013245,1.98013245,,0.274545455,,1.505016722,,,,,,,,,,,,,,,,
946,no-visualization,550,10,5,800,126,2.976190476,1.968253968,,0.229090909,,1.512096774,,,,,,,,,,,,,,,,
947,no-visualization,550,10,5,800,139,3.165467626,2.086330935,,0.252727273,,1.517241379,,,,,,,,,,,,,,,,
948,no-visualization,550,10,5,800,128,3.2890625,2,,0.232727273,,1.64453125,,,,,,,,,,,,,,,,
949,no-visualization,550,10,5,800,140,3.014285714,1.8,,0.254545455,,1.674603175,,,,,,,,,,,,,,,,
950,no-visualization,550,10,5,800,137,3.03649635,2.04379562,,0.249090909,,1.485714286,,,,,,,,,,,,,,,,
951,no-visualization,550,10,6,800,155,3.696774194,1.935483871,,0.281818182,26.4%,1.91,1.9,,,,,,,,,,,,,,,
952,no-visualization,550,10,6,800,151,3.98013245,1.953642384,,0.274545455,,2.037288136,,,,,,,,,,,,,,,,
953,no-visualization,550,10,6,800,160,3.5375,2.05,,0.290909091,,1.725609756,,,,,,,,,,,,,,,,
954,no-visualization,550,10,6,800,130,3.876923077,2.023076923,,0.236363636,,1.91634981,,,,,,,,,,,,,,,,
955,no-visualization,550,10,6,800,139,3.460431655,1.935251799,,0.252727273,,1.788104089,,,,,,,,,,,,,,,,
956,no-visualization,550,10,6,800,136,3.794117647,2.110294118,,0.247272727,,1.797909408,,,,,,,,,,,,,,,,
957,no-visualization,550,10,6,800,165,3.787878788,1.933333333,,0.3,,1.959247649,,,,,,,,,,,,,,,,
958,no-visualization,550,10,6,800,141,3.907801418,1.992907801,,0.256363636,,1.960854093,,,,,,,,,,,,,,,,
959,no-visualization,550,10,6,800,127,3.385826772,2,,0.230909091,,1.692913386,,,,,,,,,,,,,,,,
960,no-visualization,550,10,6,800,146,4.01369863,2.068493151,,0.265454545,,1.940397351,,,,,,,,,,,,,,,,
961,no-visualization,550,10,7,800,130,4.423076923,2.253846154,,0.236363636,26.6%,1.962457338,2.1,,,,,,,,,,,,,,,
962,no-visualization,550,10,7,800,149,4.275167785,2.087248322,,0.270909091,,2.048231511,,,,,,,,,,,,,,,,
963,no-visualization,550,10,7,800,147,4.360544218,1.897959184,,0.267272727,,2.297491039,,,,,,,,,,,,,,,,
964,no-visualization,550,10,7,800,146,4.465753425,2.01369863,,0.265454545,,2.217687075,,,,,,,,,,,,,,,,
965,no-visualization,550,10,7,800,128,4.4140625,2.1640625,,0.232727273,,2.039711191,,,,,,,,,,,,,,,,
966,no-visualization,550,10,7,800,134,4.470149254,2.223880597,,0.243636364,,2.010067114,,,,,,,,,,,,,,,,
967,no-visualization,550,10,7,800,148,4.756756757,2.202702703,,0.269090909,,2.159509202,,,,,,,,,,,,,,,,
968,no-visualization,550,10,7,800,176,4.375,2.136363636,,0.32,,2.04787234,,,,,,,,,,,,,,,,
969,no-visualization,550,10,7,800,141,4.517730496,2.106382979,,0.256363636,,2.144781145,,,,,,,,,,,,,,,,
970,no-visualization,550,10,7,800,162,4.592592593,2.24691358,,0.294545455,,2.043956044,,,,,,,,,,,,,,,,
971,no-visualization,550,10,8,800,159,5.157232704,2.13836478,,0.289090909,26.7%,2.411764706,2.3,,,,,,,,,,,,,,,
972,no-visualization,550,10,8,800,156,5.025641026,2.307692308,,0.283636364,,2.177777778,,,,,,,,,,,,,,,,
973,no-visualization,550,10,8,800,146,5.150684932,2.123287671,,0.265454545,,2.425806452,,,,,,,,,,,,,,,,
974,no-visualization,550,10,8,800,143,4.972027972,2.111888112,,0.26,,2.354304636,,,,,,,,,,,,,,,,
975,no-visualization,550,10,8,800,140,5.264285714,2.221428571,,0.254545455,,2.36977492,,,,,,,,,,,,,,,,
976,no-visualization,550,10,8,800,154,4.857142857,2.11038961,,0.28,,2.301538462,,,,,,,,,,,,,,,,
