BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,
Sugarscape 1 demo.nlogo,,,,,,,,,,,,,,,,,,,,,,
popu-meta,,,,,,,,,,,,,,,,,,,,,,
02/18/2022 22:29:17:435 +0800,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,
[run number],max-sugar,visualization,initial-population,max-vision,max-metabolism,[step],mean [metabolism] of turtles,,average-mean-meta,,,,,,,,,,,,,
188,10,no-visualization,200,6,9,800,1.964285714,,,,,,,,,,,,,,,
189,10,no-visualization,200,6,9,800,1.970588235,,,,,,,,,,,,,,,
190,10,no-visualization,200,6,9,800,2.022222222,,,,,,,,,,,,,,,
191,10,no-visualization,200,6,10,800,2,,2.054101601,,,,,,,,,,,,,
192,10,no-visualization,200,6,10,800,2.31372549,,,,,,,,,,,,,,,
193,10,no-visualization,200,6,10,800,1.807692308,,,,,,,,,,,,,,,
194,10,no-visualization,200,6,10,800,2,,,,,,,,,,,,,,,
195,10,no-visualization,200,6,10,800,2.115384615,,,,,,,,,,,,,,,
196,10,no-visualization,200,6,10,800,1.933333333,,,,,,,,,,,,,,,
197,10,no-visualization,200,6,10,800,1.978723404,,,,,,,,,,,,,,,
198,10,no-visualization,200,6,10,800,2.294117647,,,,,,,,,,,,,,,
199,10,no-visualization,200,6,10,800,2.019607843,,,,,,,,,,,,,,,
200,10,no-visualization,200,6,10,800,2.078431373,,,,,,,,,,,,,,,
201,10,no-visualization,300,6,1,800,1,,1,,,,,,,,,,,,,
202,10,no-visualization,300,6,1,800,1,,,,,,,,,,,,,,,
203,10,no-visualization,300,6,1,800,1,,,,,,,,,,,,,,,
204,10,no-visualization,300,6,1,800,1,,,,,,,,,,,,,,,
205,10,no-visualization,300,6,1,800,1,,,,,,,,,,,,,,,
206,10,no-visualization,300,6,1,800,1,,,,,,,,,,,,,,,
207,10,no-visualization,300,6,1,800,1,,,,,,,,,,,,,,,
208,10,no-visualization,300,6,1,800,1,,,,,,,,,,,,,,,
209,10,no-visualization,300,6,1,800,1,,,,,,,,,,,,,,,
210,10,no-visualization,300,6,1,800,1,,,,,,,,,,,,,,,
211,10,no-visualization,300,6,2,800,1.470588235,,1.466654085,,,,,,,,,,,,,
212,10,no-visualization,300,6,2,800,1.533834586,,,,,,,,,,,,,,,
213,10,no-visualization,300,6,2,800,1.503846154,,,,,,,,,,,,,,,
214,10,no-visualization,300,6,2,800,1.44015444,,,,,,,,,,,,,,,
215,10,no-visualization,300,6,2,800,1.490494297,,,,,,,,,,,,,,,
216,10,no-visualization,300,6,2,800,1.480769231,,,,,,,,,,,,,,,
217,10,no-visualization,300,6,2,800,1.422222222,,,,,,,,,,,,,,,
218,10,no-visualization,300,6,2,800,1.418250951,,,,,,,,,,,,,,,
219,10,no-visualization,300,6,2,800,1.455252918,,,,,,,,,,,,,,,
220,10,no-visualization,300,6,2,800,1.45112782,,,,,,,,,,,,,,,
221,10,no-visualization,300,6,3,800,1.871244635,,1.847584346,,,,,,,,,,,,,
222,10,no-visualization,300,6,3,800,1.782786885,,,,,,,,,,,,,,,
223,10,no-visualization,300,6,3,800,1.77092511,,,,,,,,,,,,,,,
224,10,no-visualization,300,6,3,800,1.949771689,,,,,,,,,,,,,,,
225,10,no-visualization,300,6,3,800,1.885106383,,,,,,,,,,,,,,,
226,10,no-visualization,300,6,3,800,1.871111111,,,,,,,,,,,,,,,
227,10,no-visualization,300,6,3,800,1.827433628,,,,,,,,,,,,,,,
228,10,no-visualization,300,6,3,800,1.917748918,,,,,,,,,,,,,,,
229,10,no-visualization,300,6,3,800,1.803418803,,,,,,,,,,,,,,,
230,10,no-visualization,300,6,3,800,1.796296296,,,,,,,,,,,,,,,
231,10,no-visualization,300,6,4,800,1.97311828,,2.023123327,,,,,,,,,,,,,
232,10,no-visualization,300,6,4,800,2.062827225,,,,,,,,,,,,,,,
233,10,no-visualization,300,6,4,800,2.016483516,,,,,,,,,,,,,,,
234,10,no-visualization,300,6,4,800,1.831578947,,,,,,,,,,,,,,,
235,10,no-visualization,300,6,4,800,2.004926108,,,,,,,,,,,,,,,
236,10,no-visualization,300,6,4,800,2.132275132,,,,,,,,,,,,,,,
237,10,no-visualization,300,6,4,800,2.231155779,,,,,,,,,,,,,,,
238,10,no-visualization,300,6,4,800,2.063157895,,,,,,,,,,,,,,,
239,10,no-visualization,300,6,4,800,1.890710383,,,,,,,,,,,,,,,
240,10,no-visualization,300,6,4,800,2.025,,,,,,,,,,,,,,,
241,10,no-visualization,300,6,5,800,2.08496732,,2.048169396,,,,,,,,,,,,,
242,10,no-visualization,300,6,5,800,1.972789116,,,,,,,,,,,,,,,
243,10,no-visualization,300,6,5,800,2.101265823,,,,,,,,,,,,,,,
244,10,no-visualization,300,6,5,800,2.084507042,,,,,,,,,,,,,,,
245,10,no-visualization,300,6,5,800,2.006134969,,,,,,,,,,,,,,,
246,10,no-visualization,300,6,5,800,2.110344828,,,,,,,,,,,,,,,
247,10,no-visualization,300,6,5,800,1.895705521,,,,,,,,,,,,,,,
248,10,no-visualization,300,6,5,800,2.122580645,,,,,,,,,,,,,,,
249,10,no-visualization,300,6,5,800,2.163398693,,,,,,,,,,,,,,,
250,10,no-visualization,300,6,5,800,1.94,,,,,,,,,,,,,,,
251,10,no-visualization,300,6,6,800,2.078125,,2.069127264,,,,,,,,,,,,,
252,10,no-visualization,300,6,6,800,2.115702479,,,,,,,,,,,,,,,
253,10,no-visualization,300,6,6,800,2.099236641,,,,,,,,,,,,,,,
254,10,no-visualization,300,6,6,800,2.074626866,,,,,,,,,,,,,,,
255,10,no-visualization,300,6,6,800,1.973451327,,,,,,,,,,,,,,,
256,10,no-visualization,300,6,6,800,2.240310078,,,,,,,,,,,,,,,
257,10,no-visualization,300,6,6,800,1.982905983,,,,,,,,,,,,,,,
258,10,no-visualization,300,6,6,800,2.054263566,,,,,,,,,,,,,,,
259,10,no-visualization,300,6,6,800,2.038167939,,,,,,,,,,,,,,,
260,10,no-visualization,300,6,6,800,2.034482759,,,,,,,,,,,,,,,
261,10,no-visualization,300,6,7,800,1.956140351,,2.016593574,,,,,,,,,,,,,
262,10,no-visualization,300,6,7,800,1.912621359,,,,,,,,,,,,,,,
263,10,no-visualization,300,6,7,800,1.99137931,,,,,,,,,,,,,,,
264,10,no-visualization,300,6,7,800,2.043478261,,,,,,,,,,,,,,,
265,10,no-visualization,300,6,7,800,2.150943396,,,,,,,,,,,,,,,
266,10,no-visualization,300,6,7,800,2.097345133,,,,,,,,,,,,,,,
267,10,no-visualization,300,6,7,800,2.027027027,,,,,,,,,,,,,,,
268,10,no-visualization,300,6,7,800,1.990740741,,,,,,,,,,,,,,,
269,10,no-visualization,300,6,7,800,1.98,,,,,,,,,,,,,,,
270,10,no-visualization,300,6,7,800,2.016260163,,,,,,,,,,,,,,,
271,10,no-visualization,300,6,8,800,2.202020202,,2.083389181,,,,,,,,,,,,,
272,10,no-visualization,300,6,8,800,2.138297872,,,,,,,,,,,,,,,
273,10,no-visualization,300,6,8,800,2.018867925,,,,,,,,,,,,,,,
274,10,no-visualization,300,6,8,800,2.134615385,,,,,,,,,,,,,,,
275,10,no-visualization,300,6,8,800,2.219512195,,,,,,,,,,,,,,,
276,10,no-visualization,300,6,8,800,2.045454545,,,,,,,,,,,,,,,
277,10,no-visualization,300,6,8,800,1.944954128,,,,,,,,,,,,,,,
278,10,no-visualization,300,6,8,800,2,,,,,,,,,,,,,,,
279,10,no-visualization,300,6,8,800,1.990384615,,,,,,,,,,,,,,,
280,10,no-visualization,300,6,8,800,2.139784946,,,,,,,,,,,,,,,
281,10,no-visualization,300,6,9,800,2.010869565,,2.028445181,,,,,,,,,,,,,
282,10,no-visualization,300,6,9,800,1.939759036,,,,,,,,,,,,,,,
283,10,no-visualization,300,6,9,800,2.180722892,,,,,,,,,,,,,,,
284,10,no-visualization,300,6,9,800,2.043956044,,,,,,,,,,,,,,,
285,10,no-visualization,300,6,9,800,1.965116279,,,,,,,,,,,,,,,
286,10,no-visualization,300,6,9,800,1.989010989,,,,,,,,,,,,,,,
287,10,no-visualization,300,6,9,800,1.8,,,,,,,,,,,,,,,
288,10,no-visualization,300,6,9,800,2.119047619,,,,,,,,,,,,,,,
289,10,no-visualization,300,6,9,800,2.173469388,,,,,,,,,,,,,,,
290,10,no-visualization,300,6,9,800,2.0625,,,,,,,,,,,,,,,
291,10,no-visualization,300,6,10,800,2.275362319,,2.061570359,,,,,,,,,,,,,
292,10,no-visualization,300,6,10,800,1.890410959,,,,,,,,,,,,,,,
293,10,no-visualization,300,6,10,800,2.035294118,,,,,,,,,,,,,,,
294,10,no-visualization,300,6,10,800,2.109756098,,,,,,,,,,,,,,,
295,10,no-visualization,300,6,10,800,1.986486486,,,,,,,,,,,,,,,
296,10,no-visualization,300,6,10,800,2.082191781,,,,,,,,,,,,,,,
297,10,no-visualization,300,6,10,800,2,,,,,,,,,,,,,,,
298,10,no-visualization,300,6,10,800,2.119402985,,,,,,,,,,,,,,,
299,10,no-visualization,300,6,10,800,2.157894737,,,,,,,,,,,,,,,
300,10,no-visualization,300,6,10,800,1.95890411,,,,,,,,,,,,,,,
301,10,no-visualization,400,6,1,800,1,,1,,,,,,,,,,,,,
302,10,no-visualization,400,6,1,800,1,,,,,,,,,,,,,,,
303,10,no-visualization,400,6,1,800,1,,,,,,,,,,,,,,,
304,10,no-visualization,400,6,1,800,1,,,,,,,,,,,,,,,
305,10,no-visualization,400,6,1,800,1,,,,,,,,,,,,,,,
