BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,
Sugarscape 2 demo.nlogo,,,,,,,,,,,,,,,,,,,,,,
popu-meta,,,,,,,,,,,,,,,,,,,,,,
02/18/2022 21:12:08:631 +0800,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,
[run number],max-sugar,visualization,initial-population,max-metabolism,max-vision,[step],mean [metabolism] of turtles,,average-mean-meta,,,,,,,,,,,,,
167,25,color-agents-by-vision,200,7,6,800,1.924242424,,,,,,,,,,,,,,,
168,25,color-agents-by-vision,200,7,6,800,2.088235294,,,,,,,,,,,,,,,
169,25,color-agents-by-vision,200,7,6,800,1.842105263,,,,,,,,,,,,,,,
170,25,color-agents-by-vision,200,7,6,800,1.842105263,,,,,,,,,,,,,,,
171,25,color-agents-by-vision,200,8,6,800,1.93442623,,1.992914305,,,,,,,,,,,,,
172,25,color-agents-by-vision,200,8,6,800,1.875,,,,,,,,,,,,,,,
173,25,color-agents-by-vision,200,8,6,800,1.836065574,,,,,,,,,,,,,,,
174,25,color-agents-by-vision,200,8,6,800,2.122807018,,,,,,,,,,,,,,,
175,25,color-agents-by-vision,200,8,6,800,2.014084507,,,,,,,,,,,,,,,
176,25,color-agents-by-vision,200,8,6,800,2.057142857,,,,,,,,,,,,,,,
177,25,color-agents-by-vision,200,8,6,800,1.936507937,,,,,,,,,,,,,,,
178,25,color-agents-by-vision,200,8,6,800,2.14516129,,,,,,,,,,,,,,,
179,25,color-agents-by-vision,200,8,6,800,2.072463768,,,,,,,,,,,,,,,
180,25,color-agents-by-vision,200,8,6,800,1.935483871,,,,,,,,,,,,,,,
181,25,color-agents-by-vision,200,9,6,800,1.84,,2.007645262,,,,,,,,,,,,,
182,25,color-agents-by-vision,200,9,6,800,2.160714286,,,,,,,,,,,,,,,
183,25,color-agents-by-vision,200,9,6,800,1.909090909,,,,,,,,,,,,,,,
184,25,color-agents-by-vision,200,9,6,800,1.919354839,,,,,,,,,,,,,,,
185,25,color-agents-by-vision,200,9,6,800,1.983333333,,,,,,,,,,,,,,,
186,25,color-agents-by-vision,200,9,6,800,2.02,,,,,,,,,,,,,,,
187,25,color-agents-by-vision,200,9,6,800,2.031746032,,,,,,,,,,,,,,,
188,25,color-agents-by-vision,200,9,6,800,2,,,,,,,,,,,,,,,
189,25,color-agents-by-vision,200,9,6,800,2.019230769,,,,,,,,,,,,,,,
190,25,color-agents-by-vision,200,9,6,800,2.192982456,,,,,,,,,,,,,,,
191,25,color-agents-by-vision,200,10,6,800,2.016666667,,2.004927094,,,,,,,,,,,,,
192,25,color-agents-by-vision,200,10,6,800,2.070175439,,,,,,,,,,,,,,,
193,25,color-agents-by-vision,200,10,6,800,2.019607843,,,,,,,,,,,,,,,
194,25,color-agents-by-vision,200,10,6,800,1.869565217,,,,,,,,,,,,,,,
195,25,color-agents-by-vision,200,10,6,800,1.979591837,,,,,,,,,,,,,,,
196,25,color-agents-by-vision,200,10,6,800,1.9375,,,,,,,,,,,,,,,
197,25,color-agents-by-vision,200,10,6,800,2.037037037,,,,,,,,,,,,,,,
198,25,color-agents-by-vision,200,10,6,800,2.156862745,,,,,,,,,,,,,,,
199,25,color-agents-by-vision,200,10,6,800,1.981132075,,,,,,,,,,,,,,,
200,25,color-agents-by-vision,200,10,6,800,1.981132075,,,,,,,,,,,,,,,
201,25,color-agents-by-vision,300,1,6,800,1,,1,,,,,,,,,,,,,
202,25,color-agents-by-vision,300,1,6,800,1,,,,,,,,,,,,,,,
203,25,color-agents-by-vision,300,1,6,800,1,,,,,,,,,,,,,,,
204,25,color-agents-by-vision,300,1,6,800,1,,,,,,,,,,,,,,,
205,25,color-agents-by-vision,300,1,6,800,1,,,,,,,,,,,,,,,
206,25,color-agents-by-vision,300,1,6,800,1,,,,,,,,,,,,,,,
207,25,color-agents-by-vision,300,1,6,800,1,,,,,,,,,,,,,,,
208,25,color-agents-by-vision,300,1,6,800,1,,,,,,,,,,,,,,,
209,25,color-agents-by-vision,300,1,6,800,1,,,,,,,,,,,,,,,
210,25,color-agents-by-vision,300,1,6,800,1,,,,,,,,,,,,,,,
211,25,color-agents-by-vision,300,2,6,800,1.471264368,,1.461709363,,,,,,,,,,,,,
212,25,color-agents-by-vision,300,2,6,800,1.479704797,,,,,,,,,,,,,,,
213,25,color-agents-by-vision,300,2,6,800,1.46641791,,,,,,,,,,,,,,,
214,25,color-agents-by-vision,300,2,6,800,1.431906615,,,,,,,,,,,,,,,
215,25,color-agents-by-vision,300,2,6,800,1.373134328,,,,,,,,,,,,,,,
216,25,color-agents-by-vision,300,2,6,800,1.52014652,,,,,,,,,,,,,,,
217,25,color-agents-by-vision,300,2,6,800,1.516728625,,,,,,,,,,,,,,,
218,25,color-agents-by-vision,300,2,6,800,1.425925926,,,,,,,,,,,,,,,
219,25,color-agents-by-vision,300,2,6,800,1.447368421,,,,,,,,,,,,,,,
220,25,color-agents-by-vision,300,2,6,800,1.484496124,,,,,,,,,,,,,,,
221,25,color-agents-by-vision,300,3,6,800,1.8,,1.807361857,,,,,,,,,,,,,
222,25,color-agents-by-vision,300,3,6,800,1.859649123,,,,,,,,,,,,,,,
223,25,color-agents-by-vision,300,3,6,800,1.790178571,,,,,,,,,,,,,,,
224,25,color-agents-by-vision,300,3,6,800,1.80952381,,,,,,,,,,,,,,,
225,25,color-agents-by-vision,300,3,6,800,1.8375,,,,,,,,,,,,,,,
226,25,color-agents-by-vision,300,3,6,800,1.783783784,,,,,,,,,,,,,,,
227,25,color-agents-by-vision,300,3,6,800,1.836283186,,,,,,,,,,,,,,,
228,25,color-agents-by-vision,300,3,6,800,1.824324324,,,,,,,,,,,,,,,
229,25,color-agents-by-vision,300,3,6,800,1.791304348,,,,,,,,,,,,,,,
230,25,color-agents-by-vision,300,3,6,800,1.741071429,,,,,,,,,,,,,,,
231,25,color-agents-by-vision,300,4,6,800,1.875,,1.862998485,,,,,,,,,,,,,
232,25,color-agents-by-vision,300,4,6,800,1.903225806,,,,,,,,,,,,,,,
233,25,color-agents-by-vision,300,4,6,800,1.965714286,,,,,,,,,,,,,,,
234,25,color-agents-by-vision,300,4,6,800,1.981012658,,,,,,,,,,,,,,,
235,25,color-agents-by-vision,300,4,6,800,1.813253012,,,,,,,,,,,,,,,
236,25,color-agents-by-vision,300,4,6,800,1.762162162,,,,,,,,,,,,,,,
237,25,color-agents-by-vision,300,4,6,800,1.8,,,,,,,,,,,,,,,
238,25,color-agents-by-vision,300,4,6,800,1.848167539,,,,,,,,,,,,,,,
239,25,color-agents-by-vision,300,4,6,800,1.879310345,,,,,,,,,,,,,,,
240,25,color-agents-by-vision,300,4,6,800,1.802139037,,,,,,,,,,,,,,,
241,25,color-agents-by-vision,300,5,6,800,1.939189189,,1.879767172,,,,,,,,,,,,,
242,25,color-agents-by-vision,300,5,6,800,1.830065359,,,,,,,,,,,,,,,
243,25,color-agents-by-vision,300,5,6,800,1.943661972,,,,,,,,,,,,,,,
244,25,color-agents-by-vision,300,5,6,800,1.80952381,,,,,,,,,,,,,,,
245,25,color-agents-by-vision,300,5,6,800,1.904761905,,,,,,,,,,,,,,,
246,25,color-agents-by-vision,300,5,6,800,1.966666667,,,,,,,,,,,,,,,
247,25,color-agents-by-vision,300,5,6,800,1.977777778,,,,,,,,,,,,,,,
248,25,color-agents-by-vision,300,5,6,800,1.782894737,,,,,,,,,,,,,,,
249,25,color-agents-by-vision,300,5,6,800,1.741721854,,,,,,,,,,,,,,,
250,25,color-agents-by-vision,300,5,6,800,1.901408451,,,,,,,,,,,,,,,
251,25,color-agents-by-vision,300,6,6,800,1.920634921,,1.902664907,,,,,,,,,,,,,
252,25,color-agents-by-vision,300,6,6,800,1.853846154,,,,,,,,,,,,,,,
253,25,color-agents-by-vision,300,6,6,800,1.88034188,,,,,,,,,,,,,,,
254,25,color-agents-by-vision,300,6,6,800,1.805309735,,,,,,,,,,,,,,,
255,25,color-agents-by-vision,300,6,6,800,1.95,,,,,,,,,,,,,,,
256,25,color-agents-by-vision,300,6,6,800,1.936936937,,,,,,,,,,,,,,,
257,25,color-agents-by-vision,300,6,6,800,1.856060606,,,,,,,,,,,,,,,
258,25,color-agents-by-vision,300,6,6,800,1.875,,,,,,,,,,,,,,,
259,25,color-agents-by-vision,300,6,6,800,1.964912281,,,,,,,,,,,,,,,
260,25,color-agents-by-vision,300,6,6,800,1.983606557,,,,,,,,,,,,,,,
261,25,color-agents-by-vision,300,7,6,800,1.747747748,,1.884830185,,,,,,,,,,,,,
262,25,color-agents-by-vision,300,7,6,800,1.87254902,,,,,,,,,,,,,,,
263,25,color-agents-by-vision,300,7,6,800,2,,,,,,,,,,,,,,,
264,25,color-agents-by-vision,300,7,6,800,1.863636364,,,,,,,,,,,,,,,
265,25,color-agents-by-vision,300,7,6,800,1.836363636,,,,,,,,,,,,,,,
266,25,color-agents-by-vision,300,7,6,800,1.965116279,,,,,,,,,,,,,,,
267,25,color-agents-by-vision,300,7,6,800,1.982608696,,,,,,,,,,,,,,,
268,25,color-agents-by-vision,300,7,6,800,1.843137255,,,,,,,,,,,,,,,
269,25,color-agents-by-vision,300,7,6,800,1.88,,,,,,,,,,,,,,,
270,25,color-agents-by-vision,300,7,6,800,1.857142857,,,,,,,,,,,,,,,
271,25,color-agents-by-vision,300,8,6,800,1.787878788,,1.911978605,,,,,,,,,,,,,
272,25,color-agents-by-vision,300,8,6,800,1.95049505,,,,,,,,,,,,,,,
273,25,color-agents-by-vision,300,8,6,800,1.953488372,,,,,,,,,,,,,,,
274,25,color-agents-by-vision,300,8,6,800,1.848484848,,,,,,,,,,,,,,,
275,25,color-agents-by-vision,300,8,6,800,1.804878049,,,,,,,,,,,,,,,
276,25,color-agents-by-vision,300,8,6,800,2.021505376,,,,,,,,,,,,,,,
277,25,color-agents-by-vision,300,8,6,800,1.873786408,,,,,,,,,,,,,,,
278,25,color-agents-by-vision,300,8,6,800,2.051948052,,,,,,,,,,,,,,,
279,25,color-agents-by-vision,300,8,6,800,1.93258427,,,,,,,,,,,,,,,
280,25,color-agents-by-vision,300,8,6,800,1.894736842,,,,,,,,,,,,,,,
281,25,color-agents-by-vision,300,9,6,800,1.969072165,,1.927338391,,,,,,,,,,,,,
282,25,color-agents-by-vision,300,9,6,800,2.032608696,,,,,,,,,,,,,,,
283,25,color-agents-by-vision,300,9,6,800,1.759493671,,,,,,,,,,,,,,,
284,25,color-agents-by-vision,300,9,6,800,2.012658228,,,,,,,,,,,,,,,
285,25,color-agents-by-vision,300,9,6,800,1.892857143,,,,,,,,,,,,,,,
286,25,color-agents-by-vision,300,9,6,800,1.930555556,,,,,,,,,,,,,,,
287,25,color-agents-by-vision,300,9,6,800,1.961538462,,,,,,,,,,,,,,,
288,25,color-agents-by-vision,300,9,6,800,1.852272727,,,,,,,,,,,,,,,
